Longitude (E),Latitude (N)
101.2014,35.2915
100.8318,35.0091
100.1538,34.4896
99.9401,34.5652
100.2708,34.2512
99.8313,33.8764
97.4615,33.1271
97.4014,33.1126
96.1128,33.1128
96.3188,33.2934
95.8525,32.9429
96.1478,32.9617
96.8923,32.8644
96.5565,32.6296
96.4544,31.5417
96.4014,31.4689
96.4763,31.1532
96.571,31.2378
95.613,31.475
94.2724,31.8964
93.5679,31.8232
93.3366,31.9156
91.3147,30.5152
89.7148,29.6577
92.0202,31.4353
92.0125,31.4206
100.1082,35.3874
100.5006,35.2462
96.45,32.3168
90.7124,30.2694
91.0839,30.4916
91.2745,29.9607
90.3735,29.9951
89.5055,29.3326
88.8023,29.2064
88.4205,29.185
88.1535,29.1432
89.813,29.3073
98.1247,36.0569
98.9905,35.282
99.3905,35.432
98.6238,35.032
98.1238,34.7987
97.6071,35.0154
97.3238,35.032
97.4238,33.332
96.9738,33.782
96.6238,33.982
95.7071,34.3154
95.8738,34.1487
94.1738,35.082
95.3738,33.7987
95.2738,33.6487
92.8905,34.7654
92.3405,34.032
91.6905,31.8654
91.5738,31.582
92.6071,31.782
91.9071,32.882
91.8571,33.232
98.0238,33.0154
98.3405,32.982
98.5905,32.382
99.0738,31.9987
100.1904,31.6154
100.7071,31.6654
99.1071,31.882
99.4238,31.8154
99.7571,31.1487
99.6071,31.032
99.3571,31.1154
100.5571,31.982
100.7071,32.9987
100.9738,33.4654
101.5071,37.532
100.9904,37.7154
101.3238,37.6154
100.8404,37.982
100.3571,38.0987
98.9238,38.8487
99.3405,38.6487
99.6071,38.4154
100.4738,37.8154
100.5071,37.3654
100.9238,36.982
98.1238,34.9654
95.4071,34.5654
95.0238,34.7987
94.4071,35.032
93.9071,35.2654
93.7405,35.5154
93.1238,35.2654
92.7238,34.4654
91.7071,32.132
90.5905,31.382
91.0571,31.4987
90.0905,31.432
90.0905,31.432
92.1905,33.7654
92.7071,34.282
100.0571,38.232
100.1738,37.2987
99.4071,37.1487
99.8571,37.2654
,
